Real_Time,Time_ms,Location_Note,CO2,VOC,IAQ,Gas_Res,Temp_Raw,Temp_Comp,Hum_Raw,Hum_Comp,Accuracy
2025-11-27 15:37:30,135980.0,Brodie Tower Seminar Room,500.0,0,0,104622.0,0.0,25.59,41.0,41.07,0.0
2025-11-27 15:37:30,0,Brodie Tower Seminar Room,0,0.49,25.0,104361.0,0.0,25.6,41.0,41.07,0.0
2025-11-27 15:37:31,137009.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104491.0,0.0,25.6,41.0,0,0
2025-11-27 15:37:32,138040.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104296.0,0.0,0,0,41.07,0.0
2025-11-27 15:37:33,139070.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.6,41.0,41.07,0.0
2025-11-27 15:37:34,140100.0,Brodie Tower Seminar Room,500.0,0,0,104296.0,0.0,25.6,41.0,41.09,0.0
2025-11-27 15:37:34,0,Brodie Tower Seminar Room,0,0.49,25.0,104037.0,0.0,25.6,41.0,41.09,0.0
2025-11-27 15:37:35,141191.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104231.0,0.0,25.6,41.0,0,0
2025-11-27 15:37:36,142221.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104556.0,0.0,0,0,41.1,0.0
2025-11-27 15:37:37,143250.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.6,41.0,41.1,0.0
2025-11-27 15:37:38,144280.0,Brodie Tower Seminar Room,500.0,0,0,104491.0,0.0,25.6,41.0,41.1,0.0
2025-11-27 15:37:38,0,Brodie Tower Seminar Room,0,0.49,25.0,104818.0,0.0,25.61,41.0,41.1,0.0
2025-11-27 15:37:39,145311.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104752.0,0.0,25.61,41.0,0,0
2025-11-27 15:37:41,146341.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104491.0,0.0,0,0,41.1,0.0
2025-11-27 15:37:42,147371.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.61,41.0,41.1,0.0
2025-11-27 15:37:42,148462.0,Brodie Tower Seminar Room,500.0,0,0,104818.0,0.0,25.61,41.0,41.11,0.0
2025-11-27 15:37:42,0,Brodie Tower Seminar Room,0,0.49,25.0,104622.0,0.0,25.61,41.0,41.11,0.0
2025-11-27 15:37:43,149492.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104622.0,0.0,25.61,41.0,0,0
2025-11-27 15:37:44,150521.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104752.0,0.0,0,0,41.11,0.0
2025-11-27 15:37:45,151551.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.61,41.0,41.12,0.0
2025-11-27 15:37:46,152582.0,Brodie Tower Seminar Room,500.0,0,0,104949.0,0.0,25.61,41.0,41.12,0.0
2025-11-27 15:37:46,0,Brodie Tower Seminar Room,0,0.49,25.0,104884.0,0.0,25.61,41.0,41.12,0.0
2025-11-27 15:37:48,153612.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105015.0,0.0,25.6,41.0,0,0
2025-11-27 15:37:48,154702.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104556.0,0.0,0,0,41.15,0.0
2025-11-27 15:37:49,155733.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.6,41.0,41.15,0.0
2025-11-27 15:37:50,156762.0,Brodie Tower Seminar Room,500.0,0,0,105015.0,0.0,25.6,41.0,41.15,0.0
2025-11-27 15:37:50,0,Brodie Tower Seminar Room,0,0.49,25.0,104361.0,0.0,25.59,41.0,41.17,0.0
2025-11-27 15:37:51,157792.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105147.0,0.0,25.59,41.0,0,0
2025-11-27 15:37:52,158822.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105345.0,0.0,0,0,41.17,0.0
2025-11-27 15:37:53,159853.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.59,41.0,41.17,0.0
